epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,7287.65,0.36105,0.22504,1.00161,0.9911,0.99395,0.99085,0.9634,0.30025,0.1515,0.89868,0.0024265,0.0024265,0.0024265
155,7335.02,0.36032,0.22244,1.00179,0.99111,0.99395,0.99179,0.96463,0.30021,0.15318,0.898,0.002377,0.002377,0.002377
156,7382.49,0.35607,0.22039,1.00131,0.99111,0.99395,0.99133,0.96372,0.2998,0.15401,0.89827,0.0023275,0.0023275,0.0023275
157,7429.92,0.35983,0.22194,1.00545,0.99112,0.99395,0.99145,0.96414,0.29896,0.15524,0.89854,0.002278,0.002278,0.002278
158,7477.2,0.36089,0.22051,1.00474,0.99111,0.99395,0.99144,0.9626,0.29862,0.15098,0.89876,0.0022285,0.0022285,0.0022285
159,7524.46,0.35744,0.22247,0.99808,0.9911,0.99395,0.99119,0.96357,0.29835,0.15179,0.8977,0.002179,0.002179,0.002179
160,7571.7,0.35935,0.21792,1.00451,0.9911,0.99395,0.99075,0.96179,0.2983,0.15215,0.89705,0.0021295,0.0021295,0.0021295
161,7618.85,0.35569,0.22438,0.99751,0.99111,0.99395,0.99144,0.96418,0.29858,0.15237,0.89652,0.00208,0.00208,0.00208
162,7666.17,0.35904,0.22123,1.00273,0.99111,0.99395,0.9912,0.96401,0.29859,0.15237,0.89643,0.0020305,0.0020305,0.0020305
163,7713.29,0.35751,0.21754,1.00261,0.99111,0.99395,0.99049,0.96237,0.29753,0.15178,0.89509,0.001981,0.001981,0.001981
164,7760.65,0.35497,0.21967,0.99974,0.99111,0.99395,0.99054,0.96247,0.29797,0.15122,0.89496,0.0019315,0.0019315,0.0019315
165,7807.98,0.35462,0.22154,0.99987,0.99111,0.99395,0.99049,0.96185,0.29883,0.15214,0.89629,0.001882,0.001882,0.001882
166,7855.27,0.35222,0.21442,0.99808,0.99112,0.99395,0.99065,0.96167,0.29901,0.15152,0.89606,0.0018325,0.0018325,0.0018325
167,7902.85,0.35746,0.22301,1.00235,0.99111,0.99395,0.9905,0.96117,0.29879,0.15074,0.89675,0.001783,0.001783,0.001783
168,7950.18,0.35642,0.2224,1.00176,0.99111,0.99395,0.99037,0.9608,0.29853,0.15024,0.8966,0.0017335,0.0017335,0.0017335
169,7997.51,0.35374,0.22001,0.99599,0.99112,0.99395,0.99018,0.96098,0.2982,0.15062,0.8961,0.001684,0.001684,0.001684
170,8044.95,0.35065,0.21518,0.99829,0.99111,0.99395,0.99046,0.96154,0.29856,0.1521,0.89624,0.0016345,0.0016345,0.0016345
171,8092.23,0.35119,0.21517,0.9939,0.99111,0.99395,0.99074,0.96167,0.29853,0.15327,0.8962,0.001585,0.001585,0.001585
172,8139.52,0.35257,0.21466,0.99573,0.99112,0.99395,0.99068,0.96205,0.29896,0.15079,0.89521,0.0015355,0.0015355,0.0015355
173,8186.84,0.3513,0.21538,0.997,0.99112,0.99395,0.99056,0.96199,0.29894,0.15054,0.89473,0.001486,0.001486,0.001486
174,8234.13,0.34864,0.21164,0.99292,0.99112,0.99395,0.99061,0.96217,0.2982,0.15054,0.89435,0.0014365,0.0014365,0.0014365
175,8281.67,0.34872,0.21437,0.99393,0.99112,0.99395,0.99048,0.96252,0.29813,0.15117,0.89385,0.001387,0.001387,0.001387
176,8329.14,0.35164,0.21345,0.99715,0.99112,0.99395,0.99049,0.96129,0.29837,0.15072,0.89337,0.0013375,0.0013375,0.0013375
177,8376.7,0.34631,0.20789,0.99506,0.99112,0.99395,0.99054,0.96264,0.29831,0.15053,0.89372,0.001288,0.001288,0.001288
178,8424.04,0.34948,0.21358,0.99544,0.99112,0.99395,0.99048,0.96163,0.29829,0.15074,0.89382,0.0012385,0.0012385,0.0012385
179,8471.56,0.34723,0.20777,0.99441,0.99112,0.99395,0.99051,0.96262,0.29809,0.15058,0.8938,0.001189,0.001189,0.001189
180,8519.09,0.34493,0.2091,0.99205,0.99112,0.99395,0.99043,0.9618,0.29774,0.15064,0.89405,0.0011395,0.0011395,0.0011395
181,8566.49,0.34527,0.20684,0.99412,0.99112,0.99395,0.99021,0.96259,0.29762,0.15015,0.89469,0.00109,0.00109,0.00109
182,8613.89,0.34533,0.20943,0.99185,0.99112,0.99395,0.99019,0.96176,0.29778,0.14896,0.89529,0.0010405,0.0010405,0.0010405
183,8661,0.343,0.21025,0.99008,0.99112,0.99395,0.99004,0.96202,0.29774,0.14967,0.89543,0.000991,0.000991,0.000991
184,8708.2,0.34088,0.20673,0.9899,0.99112,0.99395,0.98999,0.96159,0.2971,0.14961,0.89475,0.0009415,0.0009415,0.0009415
